timestamp,total_sells,holiday_mark
2013-01-01 00:00:00,1951.0,NEW_YEAR
2013-01-01 01:00:00,2463.91,NEW_YEAR
2013-01-01 02:00:00,2950.28,NEW_YEAR
2013-01-01 03:00:00,3410.73,NEW_YEAR
2013-01-01 04:00:00,3845.88,NEW_YEAR
2013-01-01 05:00:00,4256.37,NEW_YEAR
2013-01-01 06:00:00,4642.81,NEW_YEAR
2013-01-01 07:00:00,5005.83,NEW_YEAR
2013-01-01 08:00:00,5346.04,NEW_YEAR
2013-01-01 09:00:00,5664.09,NEW_YEAR
2013-01-01 10:00:00,5960.58,NEW_YEAR
2013-01-01 11:00:00,6236.15,NEW_YEAR
2013-01-01 12:00:00,6491.41,NEW_YEAR
2013-01-01 13:00:00,6726.99,NEW_YEAR
2013-01-01 14:00:00,6943.52,NEW_YEAR
2013-01-01 15:00:00,7141.61,NEW_YEAR
2013-01-01 16:00:00,7321.9,NEW_YEAR
2013-01-01 17:00:00,7485.01,NEW_YEAR
2013-01-01 18:00:00,7631.55,NEW_YEAR
2013-01-01 19:00:00,7762.16,NEW_YEAR
2013-01-01 20:00:00,7877.46,NEW_YEAR
2013-01-01 21:00:00,7978.07,NEW_YEAR
2013-01-01 22:00:00,8064.61,NEW_YEAR
2013-01-01 23:00:00,8137.71,NEW_YEAR
2013-01-02 00:00:00,8198.0,NEW_YEAR
2013-01-02 01:00:00,8246.09,NEW_YEAR
2013-01-02 02:00:00,8282.62,NEW_YEAR
2013-01-02 03:00:00,8308.2,NEW_YEAR
2013-01-02 04:00:00,8323.46,NEW_YEAR
2013-01-02 05:00:00,8329.02,NEW_YEAR
2013-01-02 06:00:00,8325.51,NEW_YEAR
2013-01-02 07:00:00,8313.55,NEW_YEAR
2013-01-02 08:00:00,8293.76,NEW_YEAR
2013-01-02 09:00:00,8266.78,NEW_YEAR
2013-01-02 10:00:00,8233.21,NEW_YEAR
2013-01-02 11:00:00,8193.69,NEW_YEAR
2013-01-02 12:00:00,8148.84,NEW_YEAR
2013-01-02 13:00:00,8099.29,NEW_YEAR
2013-01-02 14:00:00,8045.65,NEW_YEAR
2013-01-02 15:00:00,7988.55,NEW_YEAR
2013-01-02 16:00:00,7928.62,NEW_YEAR
2013-01-02 17:00:00,7866.48,NEW_YEAR
2013-01-02 18:00:00,7802.75,NEW_YEAR
2013-01-02 19:00:00,7738.06,NEW_YEAR
2013-01-02 20:00:00,7673.03,NEW_YEAR
2013-01-02 21:00:00,7608.29,NEW_YEAR
2013-01-02 22:00:00,7544.45,NEW_YEAR
2013-01-02 23:00:00,7482.15,NEW_YEAR
2013-01-03 00:00:00,7422.0,NEW_YEAR
2013-01-03 01:00:00,7364.52,NEW_YEAR
2013-01-03 02:00:00,7309.73,NEW_YEAR
2013-01-03 03:00:00,7257.55,NEW_YEAR
2013-01-03 04:00:00,7207.91,NEW_YEAR
2013-01-03 05:00:00,7160.71,NEW_YEAR
2013-01-03 06:00:00,7115.87,NEW_YEAR
2013-01-03 07:00:00,7073.3,NEW_YEAR
2013-01-03 08:00:00,7032.94,NEW_YEAR
2013-01-03 09:00:00,6994.68,NEW_YEAR
2013-01-03 10:00:00,6958.45,NEW_YEAR
2013-01-03 11:00:00,6924.16,NEW_YEAR
2013-01-03 12:00:00,6891.72,NEW_YEAR
2013-01-03 13:00:00,6861.07,NEW_YEAR
2013-01-03 14:00:00,6832.1,NEW_YEAR
2013-01-03 15:00:00,6804.74,NEW_YEAR
2013-01-03 16:00:00,6778.91,NEW_YEAR
2013-01-03 17:00:00,6754.51,NEW_YEAR
2013-01-03 18:00:00,6731.47,NEW_YEAR
2013-01-03 19:00:00,6709.7,NEW_YEAR
2013-01-03 20:00:00,6689.12,NEW_YEAR
2013-01-03 21:00:00,6669.64,NEW_YEAR
2013-01-03 22:00:00,6651.19,NEW_YEAR
2013-01-03 23:00:00,6633.67,NEW_YEAR
2013-01-04 00:00:00,6617.0,NEW_YEAR
2013-01-04 01:00:00,6601.11,NEW_YEAR
2013-01-04 02:00:00,6585.94,NEW_YEAR
2013-01-04 03:00:00,6571.46,NEW_YEAR
2013-01-04 04:00:00,6557.6,NEW_YEAR
2013-01-04 05:00:00,6544.35,NEW_YEAR
2013-01-04 06:00:00,6531.63,NEW_YEAR
2013-01-04 07:00:00,6519.43,NEW_YEAR
2013-01-04 08:00:00,6507.68,NEW_YEAR
2013-01-04 09:00:00,6496.34,NEW_YEAR
2013-01-04 10:00:00,6485.38,NEW_YEAR
2013-01-04 11:00:00,6474.74,NEW_YEAR
