timestamp,value_0,is_anomaly
1416722400000,-128.068285339435,0.0
1416726000000,401.279153876439,0.0
1416729600000,618.126339971268,0.0
1416733200000,835.785624179697,0.0
1416736800000,775.685527637398,0.0
1416740400000,686.613568887815,0.0
1416744000000,507.911569624528,0.0
1416747600000,209.6883241431,0.0
1416751200000,40.8498103798183,0.0
1416754800000,-197.411449657636,0.0
1416758400000,-99.5017938339213,0.0
1416762000000,-33.4587226173183,0.0
1416765600000,69.1189669951203,0.0
1416769200000,219.851309733296,0.0
1416772800000,297.528184323685,0.0
1416776400000,260.012510774031,0.0
1416780000000,236.145537447764,0.0
1416783600000,-103.751450895483,0.0
1416787200000,-294.241755055059,0.0
1416790800000,-572.553452985824,0.0
1416794400000,-700.88319918548,0.0
1416798000000,-603.063163888156,0.0
1416801600000,-504.080314478881,0.0
1416805200000,-174.737126217919,0.0
1416808800000,88.9471364399703,0.0
1416812400000,516.9807435007,0.0
1416816000000,733.67721160499,0.0
1416819600000,965.235996350857,0.0
1416823200000,860.616091304589,0.0
1416826800000,813.136273051931,0.0
1416830400000,468.922847904822,0.0
1416834000000,288.264093110831,0.0
1416837600000,98.6562571738124,0.0
1416841200000,-68.9903181778577,0.0
1416844800000,-48.7088275031376,0.0
1416848400000,80.2548509297988,0.0
1416852000000,173.478224099013,0.0
1416855600000,345.051837427729,0.0
1416859200000,439.932132439537,0.0
1416862800000,395.189468173134,0.0
1416866400000,219.008892076623,0.0
1416870000000,19.2764522158668,0.0
1416873600000,-281.873793888829,0.0
1416877200000,-446.568903156092,0.0
1416880800000,-648.30322223989,0.0
1416884400000,-601.821393573959,0.0
1416888000000,-556.456377578016,0.0
1416891600000,-192.766150222728,0.0
1416895200000,91.3610104970499,0.0
1416898800000,497.356436387593,0.0
1416902400000,735.96288626434,0.0
1416906000000,910.073854878353,0.0
1416909600000,861.296187483667,0.0
1416913200000,691.086819056209,0.0
1416916800000,511.24454615634,0.0
1416920400000,188.187788960463,0.0
1416924000000,60.0677404519734,0.0
1416927600000,-98.6997693020846,0.0
1416931200000,-143.240834269947,0.0
1416934800000,-148.925217606303,0.0
1416938400000,56.6407525204208,0.0
1416942000000,90.1505851440027,0.0
1416945600000,238.362724094407,0.0
1416949200000,161.326661460741,0.0
1416952800000,80.7019760001008,0.0
1416956400000,-236.013408585553,0.0
1416960000000,-463.413913466187,0.0
1416963600000,-686.54663533902,0.0
1416967200000,-808.94286323553,0.0
1416970800000,-843.008538899154,0.0
1416974400000,-748.325587251179,0.0
1416978000000,-378.204467712884,0.0
1416981600000,-93.1246964449762,0.0
1416985200000,237.843837658126,0.0
1416988800000,541.611106696758,0.0
1416992400000,667.620547936502,0.0
1416996000000,608.622009747284,0.0
1416999600000,392.251720754098,0.0
1417003200000,189.127263021511,0.0
1417006800000,-98.8768374864324,0.0
1417010400000,-252.873493361738,0.0
1417014000000,-341.228315355216,0.0
1417017600000,-394.513833432224,0.0
1417021200000,-344.909546473389,0.0
1417024800000,-246.205475504153,0.0
1417028400000,-115.974884441824,0.0
1417032000000,-49.4734872562037,0.0
1417035600000,-180.744469670112,0.0
1417039200000,-299.464340065788,0.0
1417042800000,-357.132667068797,0.0
1417046400000,-796.488461371399,0.0
1417050000000,-991.96008474777,0.0
1417053600000,-1214.83062822855,0.0
1417057200000,-1088.36051704582,0.0
1417060800000,-1058.95652870915,0.0
1417064400000,-675.90754422891,0.0
1417068000000,-462.163835296524,0.0
1417071600000,-125.288965241418,0.0
1417075200000,241.940041152546,0.0
1417078800000,297.989848501081,0.0
1417082400000,361.974161851839,0.0
1417086000000,232.193985142459,0.0
1417089600000,-21.6037542239456,0.0
1417093200000,-251.254296898053,0.0
1417096800000,-514.30219373156,0.0
1417100400000,-826.189785172059,0.0
1417104000000,-689.830534443032,0.0
1417107600000,-626.597256774002,0.0
1417111200000,-524.79779339767,0.0
1417114800000,-421.163796560762,0.0
1417118400000,-434.884521334549,0.0
1417122000000,-350.849548810656,0.0
1417125600000,-514.145170995098,0.0
1417129200000,-733.178846033203,0.0
1417132800000,-1014.86386676582,0.0
1417136400000,-1279.78366295877,0.0
1417140000000,-1346.84524710903,0.0
1417143600000,-1364.28242942029,0.0
1417147200000,-1232.13802128092,0.0
